price,latitude,longitude,surface_area,num_of_room,floor,num_floors_in_building,finish_condition,form_of_property,balcony_garden_terrace,parking_space,heating
1030000,52.2616725,20.9829917,70.5,1,0,4,for living,cooperative ownership right to the premises,Elevator,,municipal
560000,52.23035,20.95499,28.17,4,4,5,for living,full ownership,Garage,,
1250000,52.279178,21.112334,126.0,3,,,,,Elevator,,
865000,52.326765,21.055797,55.05,3,0,3,for living,,"Garage, Terrace",,municipal
400000,52.3320224,20.9357309,27.3,5,8,9,for living,full ownership,"Balcony, Terrace",garage/parking space,municipal
1495000,52.174082,20.9970582,62.3,2,4,6,for living,full ownership,Balcony,garage/parking space,boiler room
998700,52.1709861,20.9944779,49.5,4,3,4,for living,full ownership,Terrace,garage/parking space,
550000,52.34462,20.94172,44.0,2,0,3,for living,full ownership,"Garage, Balcony, Terrace",garage/parking space,
825000,52.2418397,20.9203224,50.9,1,1,9,for living,full ownership,Garage,garage/parking space,municipal
4400000,52.2354,21.00009,77.0,4,11,44,for living,full ownership,"Laundry, Balcony, Elevator",garage/parking space,
735000,52.26984,20.97539,32.0,3,1,3,for living,,Laundry,,
1148000,52.249702,21.0647818,67.53,4,2,5,for finishing,full ownership,"Laundry, Terrace",garage/parking space,municipal
1077000,52.24892,21.19751,82.87,1,,,,,Laundry,garage/parking space,
11000000,52.2342,21.00174,160.0,2,11,44,,,Elevator,garage/parking space,municipal
1400000,52.15435,21.07339,63.81,5,1,3,,full ownership,"Garage, Balcony, Elevator",garage/parking space,municipal
2800000,52.2142208,21.0223452,109.5,4,5,6,for living,full ownership,"Laundry, Terrace",garage/parking space,municipal
949000,52.2351604,20.9082108,55.0,4,3,4,for living,full ownership,"Laundry, Terrace",,municipal
899000,52.2201448,20.8970821,43.91,5,0,4,for living,full ownership,"Laundry, Balcony",garage/parking space,municipal
807000,52.2140492,20.9776758,39.0,4,4,5,for living,full ownership,"Elevator, Terrace",,municipal
2800000,52.2142208,21.0223452,109.5,2,5,6,for living,full ownership,"Laundry, Garage",garage/parking space,municipal
650000,52.2516678,21.0387182,46.4,3,6,18,for renovation,full ownership,"Elevator, Terrace",,municipal
790000,52.18522,21.1342,62.0,1,3,3,,full ownership,"Balcony, Elevator, Terrace",garage/parking space,municipal
1190000,52.22735,21.10549,82.0,5,3,3,for living,full ownership,Garage,,
990000,52.23477,21.01397,37.15,5,7,7,for living,full ownership,Laundry,,
609000,52.26307,21.14584,56.0,2,0,4,for living,full ownership,Laundry,,municipal
