time_scraping,otodom_id,price,title,surface_area,num_of_room,floor,form_of_property,finish_condition,balcony_garden_terrace,parking_space,heating,ad_link,map_link
2024-06-06 01:34:28,narozne-3-pokojowe-mieszkanie-z-duzym-87m-tarasem-ID4qWBF,1 007 130 zł,Narożne 3 pokojowe mieszkanie z dużym 87m tarasem!,"56,9 m²",,5/6,pełna własność,do wykończenia,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/narozne-3-pokojowe-mieszkanie-z-duzym-87m-tarasem-ID4qWBF,"https://www.google.com/maps/@52.1975313,20.9397861,16z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:34:33,2-pok-mieszkanie-na-woli-przy-ul-j-kazimierza-ID4qwNN,1 092 000 zł,2-pok. mieszkanie na Woli przy ul. J. Kazimierza,"57,1 m²",,2/7,pełna własność,do zamieszkania,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/2-pok-mieszkanie-na-woli-przy-ul-j-kazimierza-ID4qwNN,"https://www.google.com/maps/@52.2232,20.938849,16z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:34:37,rakowiec-2-pok-balkon-warto-ID4qAc4,690 000 zł,Rakowiec 2 Pok Balkon Warto !,"45,7 m²",,3/7,pełna własność,do remontu,,,miejskie,https://www.otodom.pl/pl/oferta/rakowiec-2-pok-balkon-warto-ID4qAc4,"https://www.google.com/maps/@52.206737,20.97436,15z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:34:42,3-pokoje-kolej-miejska-zielona-okolica-ID4qNBy,906 000 zł,3-Pokoje | Kolej miejska | Zielona okolica,"59,3 m²",,1/3,pełna własność,do zamieszkania,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/3-pokoje-kolej-miejska-zielona-okolica-ID4qNBy,"https://www.google.com/maps/@52.2066464,20.8687963,12z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:34:47,3-pokoje-69m2-bez-prwizji-bez-pcc-marki-ID4qWB9,827 400 zł,3 Pokoje| 69M2| Bez Prwizji| Bez Pcc| Marki,"68,95 m²",,2/4,pełna własność,,,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/3-pokoje-69m2-bez-prwizji-bez-pcc-marki-ID4qWB9,"https://www.google.com/maps/@52.30703,21.10435,15z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:34:51,waraszaw-rembertow-piekne-3pok-poddasze101m2-ID4oSH1,1 450 000 zł,Waraszaw-Rembertów/Piękne 3pok.+poddasze=101m2,"101,36 m²",,1/2,pełna własność,do zamieszkania,,garaż/miejsce parkingowe,gazowe,https://www.otodom.pl/pl/oferta/waraszaw-rembertow-piekne-3pok-poddasze101m2-ID4oSH1,"https://www.google.com/maps/@52.2715718,21.1587277,15z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:35:01,bezposrednio-bdb-lokalizacja-gotowe-garaz-ID4qHid,1 349 000 zł,BEZPOŚREDNIO- bdb.lokalizacja-- GOTOWE - garaż,"68,5 m²",,5/6,pełna własność,do wykończenia,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/bezposrednio-bdb-lokalizacja-gotowe-garaz-ID4qHid,"https://www.google.com/maps/@52.2216226,20.9310384,14z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:35:06,1-pokojowe-mieszkanie-31m2-balkon-bez-prowizji-ID4qGUx,Zapytaj o cenę,1-pokojowe mieszkanie 31m2 + balkon Bez Prowizji,"31,22 m²",,3/10,pełna własność,do wykończenia,,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-balkon-bez-prowizji-ID4qGUx,"https://www.google.com/maps/@52.1802699,20.9794708,12z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:35:10,bemowo-nowe-gotowe-do-wprowadzenia-obok-metro-ID4qRC7,899 000 zł,Bemowo NOWE gotowe do wprowadzenia obok metro,"43,91 m²",,parter/4,pełna własność,do zamieszkania,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/bemowo-nowe-gotowe-do-wprowadzenia-obok-metro-ID4qRC7,"https://www.google.com/maps/@52.2201448,20.8963096,14z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:35:15,praga-grochowska-mieszkanie-3pok-65m2-kamienica-ID4oSNN,1 100 000 zł,Praga/Grochowska/mieszkanie 3pok/65m2/Kamienica,"65,3 m²",,4/4,pełna własność,do zamieszkania,,,gazowe,https://www.otodom.pl/pl/oferta/praga-grochowska-mieszkanie-3pok-65m2-kamienica-ID4oSNN,"https://www.google.com/maps/@52.2449097,21.0887778,15z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
