price,latitude,longitude,surface_area,num_of_room,floor,num_floors_in_building,finish_condition,form_of_property,balcony_garden_terrace,parking_space,heating
550000,51.9794656,21.2156369,54.0,3,1,2,for living,full ownership,Balcony,,municipal
995000,52.222837,21.0868449,76.4,3,3,12,for living,cooperative ownership right to the premises,Balcony,garage/parking space,municipal
380000,52.25906,21.17363,24.45,2,1,2,for renovation,full ownership,,,municipal
810495,52.208396,20.8041528,77.36,4,0,3,for finishing,full ownership,Garden,garage/parking space,
,52.1154104,20.9737838,75.15,4,1,3,for finishing,full ownership,Balcony,garage/parking space,
,52.1927922,20.8618092,60.7,3,1,11,for finishing,full ownership,Balcony,garage/parking space,
225000,52.18444,20.83997,18.0,1,2,2,,full ownership,,garage/parking space,electric
870000,52.3127422,21.0729753,65.31,3,0,2,,full ownership,Garden,garage/parking space,
224000,52.15909,20.81716,18.0,1,2,2,,full ownership,,garage/parking space,electric
949000,52.2203695,20.8927734,52.91,2,3,4,for living,full ownership,Balcony,garage/parking space,municipal
699000,52.3254975,21.1217742,58.12,3,1,2,for living,full ownership,"Balcony, Garden",garage/parking space,gas
,52.3095985,21.0269151,66.25,4,1,3,for finishing,full ownership,Balcony,garage/parking space,
580000,52.28007,21.11917,42.9,2,0,4,for renovation,full ownership,"Balcony, Garden",,
1150000,52.317736,20.96838,58.0,3,6,7,,,Balcony,garage/parking space,
616784,52.1993046,20.8788704,37.97,2,0,7,for finishing,full ownership,"Terrace, Garden",garage/parking space,
601404,52.2941884,20.8828739,43.58,2,1,3,for finishing,full ownership,Balcony,garage/parking space,
590000,52.41047,21.20145,57.0,3,3,3,for living,,Balcony,garage/parking space,
945000,52.198029,20.97951,52.2,2,2,,,,Balcony,,
1420000,52.2452615,20.9595101,80.0,3,1,8,for living,full ownership,Balcony,garage/parking space,municipal
1050000,52.2357353,20.905475,60.2,3,2,3,for living,full ownership,Balcony,,municipal
429000,52.2817,20.95894,25.1,1,6,10,for renovation,,,,municipal
700000,52.2578924,20.9001911,38.5,2,1,5,for finishing,,Balcony,garage/parking space,
1030000,52.3193457,20.9633741,64.82,3,2,5,for finishing,full ownership,Balcony,garage/parking space,municipal
949000,52.28983,21.11357,83.0,4,0,4,for living,,Garden,garage/parking space,
1099000,52.190041,20.9271919,61.23,3,2,6,for living,full ownership,Balcony,garage/parking space,municipal
954400,52.2022045,21.0426187,47.72,2,4,5,for living,full ownership,Balcony,garage/parking space,municipal
980000,52.274329,20.936574,50.0,2,0,3,,full ownership,Terrace,garage/parking space,municipal
545000,52.0893315,21.0247757,44.5,2,2,8,for living,cooperative ownership right to the premises,Balcony,garage/parking space,municipal
,52.1154104,20.9737838,78.15,4,1,3,for finishing,full ownership,Balcony,garage/parking space,
1070000,52.1611563,21.071595,70.91,3,0,4,for living,full ownership,Terrace,garage/parking space,municipal
828564,52.320255,20.974453,62.77,3,1,5,for finishing,full ownership,"Balcony, Terrace",garage/parking space,municipal
970000,52.1594577,21.2102661,90.63,4,1,1,,full ownership,"Balcony, Garden",garage/parking space,gas
,52.2140848,20.7929234,44.86,2,0,3,for finishing,full ownership,Terrace,garage/parking space,other
899000,52.2515672,21.2025154,68.15,4,1,2,for finishing,full ownership,"Balcony, Garden",garage/parking space,
1615000,52.2220032,20.9875712,93.37,4,6,6,for living,full ownership,,,municipal
1380000,52.3001615,20.9798194,78.89,4,4,7,for living,full ownership,Balcony,garage/parking space,municipal
600000,52.3261837,21.0414329,40.12,2,2,2,for finishing,full ownership,Balcony,garage/parking space,municipal
,52.2023915,20.8858958,64.2,3,7,7,for finishing,full ownership,,garage/parking space,
1280000,52.0880466,21.0821828,86.0,3,0,2,for living,full ownership,"Terrace, Garden",garage/parking space,municipal
899000,52.2753034,20.9243653,68.74,5,10,12,for living,cooperative ownership right to the premises,Balcony,,municipal
1031745,52.1868097,21.0632892,61.05,3,2,11,for finishing,full ownership,Balcony,garage/parking space,
1670000,52.191752,20.9729451,164.0,5,3,3,for living,cooperative ownership right to the premises,Balcony,garage/parking space,municipal
839000,52.202152,21.13815,71.74,3,0,1,,,,,
580000,52.289239,20.9399374,36.5,2,3,4,for finishing,cooperative ownership right to the premises,,garage/parking space,municipal
742835,52.3202887,20.996522,58.75,3,0,5,for finishing,full ownership,"Terrace, Garden",garage/parking space,
1218000,52.1300517,21.0561626,67.15,2,1,3,for living,full ownership,Balcony,garage/parking space,gas
949000,52.2203695,20.8927734,52.91,2,3,4,for living,full ownership,Balcony,garage/parking space,municipal
609000,52.0893315,21.0247757,46.5,2,7,8,for living,full ownership,,,
,52.1128681,20.9733484,57.7,3,2,3,for finishing,full ownership,Balcony,,
389000,52.1661,20.81163,35.0,2,4,4,for renovation,full ownership,Balcony,,municipal
1218000,52.1300517,21.0561626,67.15,2,1,3,for living,full ownership,Balcony,garage/parking space,gas
949000,52.2203695,20.8927734,52.91,2,3,4,for living,full ownership,Balcony,garage/parking space,municipal
,52.3462542,21.0475104,73.68,4,1,2,for finishing,full ownership,Balcony,garage/parking space,
,52.1128681,20.9733484,57.61,3,3,3,for finishing,full ownership,Balcony,,
,52.251241,21.0634548,86.18,4,4,8,for finishing,full ownership,,garage/parking space,
,52.2016836,20.8878189,76.11,4,4,7,for finishing,full ownership,Balcony,garage/parking space,
1710526,52.1699645,20.9934698,92.08,4,1,5,for finishing,full ownership,Balcony,garage/parking space,
,52.1915061,20.9516335,53.68,3,6,6,for finishing,full ownership,Balcony,garage/parking space,
850000,52.113301,21.2636418,65.0,3,1,3,for living,full ownership,"Balcony, Garden",garage/parking space,municipal
979000,52.1921673,20.9882615,52.0,2,3,7,for living,full ownership,"Balcony, Terrace",garage/parking space,
,52.0967613,21.0446222,58.16,3,2,3,for finishing,full ownership,Balcony,garage/parking space,
,52.45968,21.03804,59.3,3,2,4,for finishing,full ownership,,garage/parking space,
1301000,52.2251321,20.9741461,55.22,3,5,6,for finishing,full ownership,,garage/parking space,
839000,52.19345,20.9003,56.8,2,3,6,for living,full ownership,Balcony,garage/parking space,municipal
1969999,52.1895098,20.9089859,100.0,4,7,7,for living,full ownership,"Balcony, Terrace",,municipal
1690000,52.1574975,21.071893,90.0,3,0,4,for living,full ownership,"Balcony, Terrace, Garden",garage/parking space,municipal
1090050,52.1356808,21.0673293,55.9,2,1,4,for living,full ownership,Balcony,garage/parking space,municipal
885000,52.2974543,21.0423418,59.2,3,6,10,for living,cooperative ownership right to the premises,Balcony,,municipal
929000,52.1958824,20.9592033,47.95,2,0,8,for finishing,full ownership,"Terrace, Garden",garage/parking space,municipal
